name,link,year
"Positive Definite, Hermitian Matrix",https://www.cs.utexas.edu/users/flame/Notes/NotesOnChol.pdf,
"Non-Definite, Symmetric Matrix",https://link.springer.com/article/10.1007/BF01931804,
Toeplitz Matrix,https://link.springer.com/content/pdf/10.1007/BF02163269.pdf,
Vandermonde Matrix,https://www.jstor.org/stable/2004623,
General Linear Programming,https://books.google.com/books?hl=en&lr=&id=DTjPAAAAQBAJ&oi=fnd&pg=PP1&dq=general+linear+programming&ots=vD4ZikjK9Z&sig=hKNx-yjfv4eztlHMjbWBIEWhfGA#v=onepage&q=general%20linear%20programming&f=false,
Linear Programming with Reals,https://link.springer.com/content/pdf/10.1007/BF01580859.pdf,
Integer Linear Programming,https://d1wqtxts1xzle7.cloudfront.net/30784929/15023096-libre.pdf?1392035464=&response-content-disposition=inline%3B+filename%3DThree_models_of_fuzzy_integer_linear_pro.pdf&Expires=1661187732&Signature=KJX0f8E8YpE~2X0f4tgDBvqlsPKVldp3BztygETrIDDscwI25~PAsRrtZ8JYXgalpEd1vJEuYuUDCyefMcdsMqq0I-yN0l0DOn6AaZhB-Wr-bjzxuorwUjudediDpIFtzK6t6ue30Gy5smKflevKkLzd~C9gDO9wLM7rXs9Qc3Pt3WRq~eyXrNERyyX8nQCj3-FtOFPVWttivVFqKopzQ7zHUnkMsSQ9~TOyB58tJX5mjZ0qwTnG-E5WdkYIcxSqFFMvQciOztMjOw4ztTOoaR-bK4zm23a~Rhmy9YnvyN6H807Dn4R7Gz2HhIi7fBpZKuN7TRUUDLZoYF3E6AhV1g__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,
0-1 Linear Programming,https://www.jstor.org/stable/pdf/2628745.pdf,
"Reporting all intersection points, line segments",https://dl.acm.org/doi/10.1145/147508.147511,
"Reporting all intersection points, generalized segments",https://epubs.siam.org/doi/abs/10.1137/S0097539797329373,
"Reporting all intersection points, convex polygons",https://pdfs.semanticscholar.org/a571/cc92218132a1b0e65c2adbf663c79d015737.pdf,
"Reporting all intersection points, general polygons",https://pdfs.semanticscholar.org/a571/cc92218132a1b0e65c2adbf663c79d015737.pdf,
"Counting number of intersection points, line segments",https://www.sciencedirect.com/science/article/pii/0022000086900255,
2-dimensional Convex Hull,https://dl.acm.org/doi/10.1145/359423.359430,
3-dimensional Convex Hull,https://dl.acm.org/doi/10.1145/359423.359430,
d-dimensional Convex Hull,https://dl.acm.org/doi/pdf/10.1145/12130.12172,
"2-dimensional Convex Hull, Online",https://dl.acm.org/doi/abs/10.1145/359131.359132,
"2-dimensional Convex Hull, Dynamic",https://www.sciencedirect.com/science/article/pii/002200008190012X?via%3Dihub,
Strongly Connected Components,https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,
Transitive Closure,https://link.springer.com/article/10.1007/BF01940892,
Maximum Strongly Connected Component,https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,
Strong Connectivity (dynamic),https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,
2 Strong Components (dynamic),https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,
Connected Subgraph,https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,
"Undirected, General MST",https://dl.acm.org/citation.cfm?id=2791225,
"Undirected, Dense MST",https://epubs.siam.org/doi/abs/10.1137/0205051,
"Undirected, Planar MST",https://epubs.siam.org/doi/abs/10.1137/0205051,
"Undirected, Integer Weights MST",https://www.sciencedirect.com/science/article/pii/S0022000005800649?via%3Dihub,
"Directed (Optimum Branchings), General MST",https://nvlpubs.nist.gov/nistpubs/jres/71b/jresv71bn4p233_a1b.pdf,
"Directed (Optimum Branchings), Super Dense MST",https://onlinelibrary.wiley.com/doi/10.1002/net.3230070103,
"k-dimensional space, $l_m$ (or $l_\infty$) norm",https://dl.acm.org/citation.cfm?id=540196,
"2-dimensional space, $l_m$ (or $l_\infty$) norm",https://www.sciencedirect.com/science/article/pii/0020019088901500,
"2-dimensional space, Euclidean metric",https://ieeexplore.ieee.org/document/4567872,
2-dimensional array representation,https://www.sciencedirect.com/science/article/pii/0020019080900356,
General Weights,https://apps.dtic.mil/sti/pdfs/AD0422842.pdf,
Nonnegative Weights,https://www.jstor.org/stable/3007178?seq=1#page_scan_tab_contents,
Nonnegative Integer Weights,https://doi.org/10.1016/0166-218X(83)90104-X,
Second Shortest Simple Path,https://dl.acm.org/doi/pdf/10.1145/3186893,
st-Shortest Path,https://arxiv.org/pdf/1703.01638.pdf,
1-sensitive (3/2)-approximate ss-shortest paths,https://arxiv.org/pdf/1703.01638.pdf,
2-sensitive (7/5)-approximate st-shortest paths,https://arxiv.org/pdf/1703.01638.pdf,
1-sensitive decremental st-shortest paths,https://arxiv.org/pdf/1703.01638.pdf,
2-sensitive decremental st-shortest paths,https://arxiv.org/pdf/1703.01638.pdf,
Replacement Paths Problem,https://arxiv.org/pdf/1703.01638.pdf,
APSP,https://dl.acm.org/doi/10.1145/2591796.2591811,
APSP on Dense Directed Graphs with Arbitrary Weights,https://dl.acm.org/doi/10.1145/2591796.2591811,
APSP on Dense Undirected Graphs with Arbitrary Weights,https://dl.acm.org/doi/10.1145/2591796.2591811,
APSP on Geometrically Weighted Graphs,https://dl.acm.org/doi/10.1145/2591796.2591811,
APSP on Dense Undirected Graphs with Positive Integer Weights,https://dl.acm.org/doi/10.1145/2591796.2591811,
APSP on Sparse Directed Graphs with Arbitrary Weights,https://dl.acm.org/doi/10.1145/321992.321993,
APSP on Sparse Undirected Graphs with Positive Integer Weights,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.22.7128&rep=rep1&type=pdf,
APSP on Sparse Undirected Graphs with Arbitrary Weights,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.22.7128&rep=rep1&type=pdf,
APSP on Dense Directed Unweighted Graphs,https://dl.acm.org/doi/abs/10.1145/567112.567114,
APSP on Dense Undirected Unweighted Graphs,https://www.sciencedirect.com/science/article/pii/S0022000085710781?via%3Dihub,
APSP on Sparse Directed Unweighted Graphs,https://dl.acm.org/doi/abs/10.1145/567112.567114,
APSP on Sparse Undirected Unweighted Graphs,https://www.sciencedirect.com/science/article/pii/S0022000085710781?via%3Dihub,
(5/3)-approximate ap-shortest paths,https://arxiv.org/pdf/1703.01638.pdf,
Integer Factoring,https://link.springer.com/content/pdf/10.1007/BF01933667.pdf,
Smallest Factor,https://www.ams.org/journals/mcom/1981-36-153/S0025-5718-1981-0595059-1/home.html,
Rectangular Matrix LU Decomposition,https://arxiv.org/abs/math/0506382,
Square Matrix LU Decomposition,https://arxiv.org/abs/math/0506382,
Informed Search,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4082128,
Single String Search,http://www.cs.jhu.edu/~misha/ReadingSeminar/Papers/Knuth77.pdf,
Multiple String Search,http://www.cs.jhu.edu/~misha/ReadingSeminar/Papers/Knuth77.pdf,
"Edit Distance, constant-size alphabet",https://doi.org/10.1016/0022-0000(80)90002-1,
"Edit Sequence, constant-size alphabet",https://doi.org/10.1016/0022-0000(80)90002-1,
Joins,https://www.w3schools.com/sql/sql_join.asp,
Rectangular Window,https://dl.acm.org/doi/pdf/10.1145/357332.357333,
Convex Polygonal Window,https://www.sciencedirect.com/science/article/pii/0097849378900213,
Convex Polyhedral Window,https://www.sciencedirect.com/science/article/pii/0097849378900213,
NFA to DFA conversion,https://ieeexplore.ieee.org/document/5392601,
Multiplication,https://mathworld.wolfram.com/Multiplication.html,
Bipartite Graph MCM,https://epubs.siam.org/doi/epdf/10.1137/0202019,
General Graph MCM,https://web.eecs.umich.edu/~pettie/matching/Blum-matching-ICALP90.pdf,
Planar Bipartite Graph Perfect Matching,http://theory.stanford.edu/~virgi/cs267/papers/planar-sssp.pdf,
Key Exchange,https://caislab.kaist.ac.kr/lecture/2010/spring/cs548/basic/B08.pdf,
Mutual Exclusion,https://dl.acm.org/doi/abs/10.5555/6649,
Exact Laplacian Solver,https://theory.epfl.ch/vishnoi/Lxb-Web.pdf,
Inexact Laplacian Solver,https://theory.epfl.ch/vishnoi/Lxb-Web.pdf,
Cycle Detection,http://bvicam.in/INDIACom/BJIT/downloads/BIJIT%20-%20Complete%20Issue%2012.pdf#page=25,
General Permutations,https://dl.acm.org/doi/10.1145/364520.364540,
Cyclic Permutations,https://www.sciencedirect.com/science/article/pii/0020019086900736,
Convex Optimization (Non-linear),https://web.stanford.edu/~boyd/cvxbook/bv_cvxbook.pdf,
Gröbner Bases,https://dl.acm.org/doi/10.1145/1088216.1088219,
Minimum value in each row of an implicitly-defined totally monotone matrix,https://link.springer.com/article/10.1007/BF01840359,
All Permutations,https://doi.org/10.1090/S0025-5718-1963-0159764-2,
Optimal Binary Search Tree Problem,https://doi.org/10.1016/S0304-3975(96)00320-9,
Approximate OBST,https://doi.org/10.1016/S0304-3975(96)00320-9,
Huffman Encoding,https://doi.org/10.1016/S0304-3975(96)00320-9,
Alphabetic Tree Problem,https://doi.org/10.1016/S0304-3975(96)00320-9,
2-Player,https://dl.acm.org/doi/pdf/10.1145/779928.779933,
n-Player,https://dl.acm.org/doi/pdf/10.1145/779928.779933,
Maximum-Weight Matching,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1366244,
Bipartite Maximum-Weight Matching,https://ieeexplore.ieee.org/abstract/document/6979028?casa_token=daaoBjrHUa4AAAAA:DCjk_WMWZ5Is6KvGpmS8a2bL9LskvV0P1zEG4U2u-Tm_C8sixu1w65OpTyjml1HEpaikXhtYsg,
Constructing Eulerian Trails in a Graph,https://drops.dagstuhl.de/opus/volltexte/2016/6474/pdf/LIPIcs-MFCS-2016-62.pdf,
Discrete Fourier Transform,https://www.ams.org/journals/mcom/1978-32-141/S0025-5718-1978-0468306-4/S0025-5718-1978-0468306-4.pdf,
Line Drawing,http://www.cs.gettysburg.edu/~ilinkin/courses/Fall-2014/cs373/handouts/papers/gs-fegsd-81.pdf,
Polygon Clipping with Arbitrary Clipping Polygon,https://davis.wpi.edu/~matt/courses/clipping/,
Polygon Clipping with Convex Clipping Polygon,,
"(3-Dimensional, i.e. project onto a 2D plane)",https://www.cs.drexel.edu/~david/Classes/Papers/p443-newell.pdf,
Line Simplification,https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.494.7321,
All Eigenvalues,"https://mathworld.wolfram.com/Eigenvalue.html#:~:text=Eigenvalues%20are%20a%20special%20set,Marcus%20and%20Minc%201988,%20p.",
Any Eigenvalue,"https://mathworld.wolfram.com/Eigenvalue.html#:~:text=Eigenvalues%20are%20a%20special%20set,Marcus%20and%20Minc%201988,%20p.",
All Eigenpairs,"https://mathworld.wolfram.com/Eigenvalue.html#:~:text=Eigenvalues%20are%20a%20special%20set,Marcus%20and%20Minc%201988,%20p.",
Any Eigenpair,"https://mathworld.wolfram.com/Eigenvalue.html#:~:text=Eigenvalues%20are%20a%20special%20set,Marcus%20and%20Minc%201988,%20p.",
Eigenpair with the Largest Eigenvalue,"https://mathworld.wolfram.com/Eigenvalue.html#:~:text=Eigenvalues%20are%20a%20special%20set,Marcus%20and%20Minc%201988,%20p.",
Eigenpair closest to mu,"https://mathworld.wolfram.com/Eigenvalue.html#:~:text=Eigenvalues%20are%20a%20special%20set,Marcus%20and%20Minc%201988,%20p.",
General Root Computation,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1084580,
Root Computation with continuous first derivative,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1084580,
k Nearest Neighbors Search,https://dl.acm.org/doi/pdf/10.1145/355744.355745,
k Approximate Nearest Neighbors Search,https://ieeexplore.ieee.org/document/8594636,
k-ANNS for a dense 3D map of geometric points,https://ieeexplore.ieee.org/document/8594636,
Coset Enumeration,https://arxiv.org/pdf/math/9406202.pdf,
Maximum Likelihood Parameters,https://www.jstor.org/stable/2984875,
Cardinality Estimation,http://algo.inria.fr/flajolet/Publications/FlFuGaMe07.pdf,
Local Register Allocation,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.452.8606&rep=rep1&type=pdf,
Global Register Allocation,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.452.8606&rep=rep1&type=pdf,
Voronoi Diagrams,https://www.wias-berlin.de/people/si/course/files/Fortune87-SweepLine-Voronoi.pdf,
Variance Calculations,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.302.7503&rep=rep1&type=pdf,
Topological Sorting,https://dl.acm.org/doi/10.1145/368996.369025,
DFA Minimization,https://www.labri.fr/perso/zeitoun/research/pdf/Almeida-Zeitoun-IPL2008.pdf,
Acyclic DFA Minimization,https://www.labri.fr/perso/zeitoun/research/pdf/Almeida-Zeitoun-IPL2008.pdf,
Cyclic Nontrivial SCCs DFA Minimization,https://www.labri.fr/perso/zeitoun/research/pdf/Almeida-Zeitoun-IPL2008.pdf,
Lowest Common Ancestor,https://www.semanticscholar.org/paper/Fast-Algorithms-for-Finding-Nearest-Common-Harel-Tarjan/8867d059dda279b1aed4a0301e4e46f9daf65174,
Off-Line Lowest Common Ancestor,https://www.semanticscholar.org/paper/Fast-Algorithms-for-Finding-Nearest-Common-Harel-Tarjan/8867d059dda279b1aed4a0301e4e46f9daf65174,
Lowest Common Ancestor with Static Trees,https://www.semanticscholar.org/paper/Fast-Algorithms-for-Finding-Nearest-Common-Harel-Tarjan/8867d059dda279b1aed4a0301e4e46f9daf65174,
Lowest Common Ancestor with Linking Roots,https://www.semanticscholar.org/paper/Fast-Algorithms-for-Finding-Nearest-Common-Harel-Tarjan/8867d059dda279b1aed4a0301e4e46f9daf65174,
Lowest Common Ancestor with Linking,https://www.semanticscholar.org/paper/Fast-Algorithms-for-Finding-Nearest-Common-Harel-Tarjan/8867d059dda279b1aed4a0301e4e46f9daf65174,
Lowest Common Ancestors with Linking and Cutting,https://www.semanticscholar.org/paper/Fast-Algorithms-for-Finding-Nearest-Common-Harel-Tarjan/8867d059dda279b1aed4a0301e4e46f9daf65174,
Exact GED,https://www.sciencedirect.com/science/article/am/pii/S095070511830488X,
Inexact GED,https://www.sciencedirect.com/science/article/am/pii/S095070511830488X,
"Enumerating Maximal Cliques, arbitrary graph",https://dl.acm.org/doi/10.1145/362342.362367,
k-Clique,https://people.csail.mit.edu/virgi/eccentri.pdf,
Exact k-Clique,https://people.csail.mit.edu/virgi/eccentri.pdf,
Min-Weight k-Clique,https://people.csail.mit.edu/virgi/eccentri.pdf,
Max-Weight k-Clique,https://arxiv.org/pdf/1602.05837.pdf,
Minimum TSP,https://dl.acm.org/doi/pdf/10.1145/876638.876640,
Maximum TSP,https://dl.acm.org/doi/pdf/10.1145/876638.876640,
Approximate TSP,https://link.springer.com/chapter/10.1007/978-1-4020-9688-4_3,
2-Dimensional Poisson Problem,https://dl.acm.org/doi/abs/10.1145/1053379.1053381,
3-Dimensional Poisson Problem,https://dl.acm.org/doi/abs/10.1145/1053379.1053381,
Delaunay Triangulation,http://www.geom.uiuc.edu/~samuelp/del_project.html,
De Novo Genome Assembly,https://www.illumina.com/techniques/sequencing/dna-sequencing/whole-genome-sequencing/de-novo-sequencing.html,
Subset Sum,https://dl.acm.org/doi/pdf/10.1145/3329863,
Functional Dependency Inference Problem,https://dl.acm.org/doi/pdf/10.1145/509404.509414,
Multivalued Dependency Inference Problem,https://dl.acm.org/doi/pdf/10.1145/509404.509414,
BCNF Decomposition,https://www.microsoft.com/en-us/research/uploads/prod/2020/12/WhatDoesBCNFdo-VLDB1980.pdf,
Decisional BCNF,https://www.microsoft.com/en-us/research/uploads/prod/2020/12/WhatDoesBCNFdo-VLDB1980.pdf,
4NF Decomposition,https://dl.acm.org/doi/abs/10.1145/320557.320571,
4NF Decomposition for Functional and Multivalued Dependency Sets,https://www.vldb.org/conf/1983/P186.PDF,
4NF Decomposition for Conflict-Free Dependency Sets,https://www.vldb.org/conf/1983/P186.PDF,
Disk Scheduling,https://dl.acm.org/doi/10.1145/98949.99156,
The Vertex Cover Problem,https://dl.acm.org/doi/pdf/10.1145/1101821.1101823,
"The Vertex Cover Problem, Degrees Bounded By 3",https://doi.org/10.1002/1097-0037(200007)35:4<253::AID-NET3>3.0.CO;2-K,
CFG Parsing,https://arxiv.org/pdf/cs/0112018.pdf,
CFG Recognition,https://arxiv.org/pdf/cs/0112018.pdf,
Finding Frequent Itemsets,http://infolab.stanford.edu/~ullman/mmds/ch6.pdf,
Lossy Compression,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8708945,
Lossless Compression,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8708945,
Factorization of Polynomials Over Finite Fields,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6768643,
Cryptanalysis of Linear Feedback Shift Registers,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1054260,
Stable Marriage Problem,http://www.eecs.harvard.edu/cs286r/courses/fall09/papers/galeshapley.pdf,
Almost Stable Marriage Problem,https://arxiv.org/pdf/0812.4893.pdf,
Stable Roommates Problem,https://doi.org/10.1016/0196-6774(85)90033-1,
Boolean d-Attribute Stable Matching,https://arxiv.org/pdf/1510.06452.pdf,
Stable Matching Verification,https://arxiv.org/pdf/1510.06452.pdf,
Stable Pair Checking,https://arxiv.org/pdf/1510.06452.pdf,
Longest Path on Interval Graphs,https://link.springer.com/content/pdf/10.1007/s00453-010-9411-3.pdf,
Maximum Subarray,https://arxiv.org/pdf/1602.05837.pdf,
1D Maximum Subarray,https://arxiv.org/pdf/1602.05837.pdf,
2D Maximum Subarray,https://arxiv.org/pdf/1602.05837.pdf,
Maximum Square Subarray,https://arxiv.org/pdf/1602.05837.pdf,
Constructing Suffix Trees,https://link.springer.com/content/pdf/10.1007/BF01206331.pdf,
Ray Tracing,https://graphics.stanford.edu/courses/Appel.pdf,
Entity Resolution,https://dl.acm.org/doi/pdf/10.1145/1559845.1559870,
Longest Palindromic Substring,https://link.springer.com/content/pdf/10.1007/BF01182773.pdf,
AST to Code Translation,https://hillside.net/plop/plop2003/Papers/Jones-ImplementingASTs.pdf,
Arithmetic Expression Binary Tree,https://dl.acm.org/doi/10.1145/236114.236117,
"Graph Isomorphism, General Graphs",https://onlinelibrary.wiley.com/doi/pdf/10.1002/jgt.3190010410,
"Graph Isomorphism, Bounded Number of Vertices of Each Color",https://link.springer.com/content/pdf/10.1007/BF02104746.pdf,
"Graph Isomorphism, Trivalent Graphs",https://link.springer.com/content/pdf/10.1007/BF02104746.pdf,
"Graph Isomorphism, Bounded Vertex Valences",https://link.springer.com/content/pdf/10.1007/BF02104746.pdf,
Largest Common Subtree,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.41.4833&rep=rep1&type=pdf,
Subtree Isomorphism,https://dl.acm.org/doi/pdf/10.1145/3093239,
Digraph Realization Problem,https://arxiv.org/pdf/1203.3636.pdf,
DAG Realization Problem,https://arxiv.org/pdf/1203.3636.pdf,
Duplicate Elimination,https://doi.org/10.1109/ICMV.2009.43,
Hyperbolic Spline Interpolation,https://link.springer.com/content/pdf/10.1134/S0965542511050095.pdf,
Mesh Parameterization,https://dl.acm.org/doi/10.1145/1236246.1236287,
Maximum Likelihood Methods in Unknown Latent Variables,https://www.jstor.org/stable/2984875#metadata_info_tab_contents,
Matrix Factorization,https://doi.org/10.1109/MC.2009.263,
Corner Detection,https://doi.org/10.1016/0031-3203(90)90118-5,
Blob Detection,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7467122,
Culling,https://dl.acm.org/doi/pdf/10.1145/253284.253312,
Filtering Problem (Stochastic Processes),https://ieeexplore.ieee.org/abstract/document/506400,
Optimal Policies for MDPs,https://mas.cs.umass.edu/classes/cs683/lectures-2010/Lec13_MDP2-F2010-4up.pdf,
Unweighted Set-Covering,https://dl.acm.org/doi/pdf/10.1145/237814.237991,
Weighted Set-Covering,https://www.jstor.org/stable/pdf/3689577.pdf,
Motif Search,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-8-S7-S21#MOESM6,
All Maximal Non-Branching Paths in a Graph,https://rosalind.info/problems/ba3m/,
InDegree Analysis,https://dl.acm.org/doi/pdf/10.1145/1052934.1052942,
Image Compositing,https://dl.acm.org/doi/pdf/10.1145/800031.808606,
Texture Synthesis,https://dl.acm.org/doi/abs/10.1145/344779.345009,
Distributed Locking Algorithms,https://martin.kleppmann.com/2016/02/08/how-to-do-distributed-locking.html,
Cyclic Peptide Sequencing Problem,https://link.springer.com/content/pdf/10.1007/978-3-540-78839-3_16.pdf,
Diffuse Reflection,https://web.archive.org/web/20100727005751/http://www.cs.berkeley.edu/~ravir/6998/papers/p165-hanrahan.pdf,
Specular Reflection,https://web.archive.org/web/20100727005751/http://www.cs.berkeley.edu/~ravir/6998/papers/p165-hanrahan.pdf,
Point-in-Polygon,https://ir.nctu.edu.tw/bitstream/11536/749/1/A1997WM15100010.pdf,
Image Segmentation,http://www.ttcenter.ir/ArticleFiles/ENARTICLE/3405.pdf,
Mesh Simplification,http://webdocs.cs.ualberta.ca/~anup/Courses/604_3DTV/Presentation_files/Polygon_Simplification/7.pdf,
Clock Synchronization in Distributed Systems,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4359404,
POMDPs,https://www.techfak.uni-bielefeld.de/~skopp/Lehre/STdKI_SS10/POMDP_survey.pdf,
Rasterization,https://dl.acm.org/doi/abs/10.1145/74333.74370,
Environment Mapping,https://doi.org/10.1109/MCG.1986.276672,
Occupancy Grid Mapping,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=30720,
SLAM Algorithms,http://ais.informatik.uni-freiburg.de/teaching/ss12/robotics/slides/12-slam.pdf,
d-Neighborhood of a String,https://rosalind.info/problems/ba1n/,
Maximum Cut,https://doi.org/10.1016/0167-6377(81)90020-1,
Minimum Wiener Connector Problem,https://dl.acm.org/doi/10.1145/2723372.2749449,
Undirected Wiener Index,https://arxiv.org/pdf/1712.08147v2.pdf,
Determinant of Matrices with Integer Entries,https://www.ams.org/journals/mcom/1968-22-103/S0025-5718-1968-0226829-0/S0025-5718-1968-0226829-0.pdf,
Integer Relation Among Reals,https://epubs.siam.org/doi/pdf/10.1137/0218059,
Integer Relation Among Integers,https://epubs.siam.org/doi/pdf/10.1137/0218059,
Sequence-To-Graph Alignment,https://doi.org/10.1016/S0304-3975(99)00333-3,
Discrete Logarithm Over Finite Fields,https://doi.org/10.1006/inco.1998.2761,
Rod-Cutting Problem,https://web.stanford.edu/class/archive/cs/cs161/cs161.1168/lecture12.pdf,
Self-Balancing Trees Creation,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4567957,
Self-Balancing Trees Insertion,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4567957,
Self-Balancing Trees Deletion,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4567957,
Self-Balancing Trees Search,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4567957,
Transitive Reduction Problem of Directed Graphs,https://epubs.siam.org/doi/pdf/10.1137/0201008,
Change-Making Problem,https://dl.acm.org/doi/10.1145/321864.321874,
Turnpike Problem,http://hariharan-ramesh.com/ppts/turnpike.pdf,
Counting Solutions,https://doi.org/10.1080/00029890.1994.11997004,
Constructing Solutions,https://doi.org/10.1080/00029890.1994.11997004,
n-Queens Completion,https://doi.org/10.1080/00029890.1994.11997004,
Median String Problem with Unbounded Alphabets,https://link.springer.com/content/pdf/10.1007/3-540-44888-8_23.pdf,
Median String Problem with Bounded Alphabets,https://link.springer.com/content/pdf/10.1007/3-540-44888-8_23.pdf,
Median String Problem with Binary Alphabets,https://link.springer.com/content/pdf/10.1007/3-540-44888-8_23.pdf,
Frequent Words with Mismatches Problem,https://academic.oup.com/bioinformatics/article/30/14/2000/2391348,
Tower of Hanoi,https://www.fmf.uni-lj.si/~klavzar/preprints/topdiscs-scan.pdf,
The Frequent Words Problem,https://bioinformaticsalgorithms.com/data/debugdatasets/replication/FrequentWordsProblem.pdf,
