link,name,year,title,DOI,,,,,,,
https://www.bibsonomy.org/bibtex/2f485e4ea9a877871b59ab503151a7f10/bjoern,Heap Sort,1964,,,,,,,,,
http://bitsavers.org/pdf/mit/whirlwind/R-series/R-232_Information_Sorting_in_the_Application_of_Electronic_Digital_Computers_to_Business_Operations_May54.pdf,Counting Sort,1954,,,,,,,,,
https://dl.acm.org/citation.cfm?doid=366622.366647,Hoare's Selection Algorithm (QuickSelect),1961,,,,,,,,,
https://dl.acm.org/citation.cfm?doid=321796.321811,Wagner and Fischer,1974,,,,,,,,,
http://www.cs.yale.edu/homes/lans/readings/routing/ford-max_flow-1956.pdf,Ford & Fulkerson,1955,,,,,,,,,
https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549,Dinitz,1970,,,,,,,,,
https://web.eecs.umich.edu/~pettie/matching/Edmonds-Karp-network-flow.pdf,Edmonds & Karp,1972,,,,,,,,,
http://alexander-karzanov.net/Publications/maxflow-acyc.pdf,Karzanov,1974,,,,,,,,,
https://core.ac.uk/download/pdf/81946904.pdf,Galil & Naamad,1980,,,,,,,,,
https://link.springer.com/article/10.1007%2FBF02165411,Strassen's algorithm,1969,,,,,,,,,
https://ieeexplore.ieee.org/document/4567976,Pan's algorithm,1978,,,,,,,,,
https://epubs.siam.org/doi/abs/10.1137/0211020,Romani's algorithm,1981,,,,,,,,,
https://epubs.siam.org/doi/abs/10.1137/0211038,Coppersmith–Winograd algorithm,1981,,,,,,,,,
https://ieeexplore.ieee.org/abstract/document/4568194,Strassen's algorithm,1986,,,,,,,,,
http://www.cs.umd.edu/~gasarch/TOPICS/ramsey/matrixmult.pdf,Coppersmith–Winograd algorithm,1990,,,,,,,,,
http://theory.stanford.edu/~virgi/matrixmult-f.pdf,Vassilevska Williams,2014,,,,,,,,,
https://arxiv.org/abs/1401.7714,François Le Gall,2014,,,,,,,,,
https://link.springer.com/article/10.1007/BF01931804,Aasen's method,1971,,,,,,,,,
https://onlinelibrary.wiley.com/doi/abs/10.1002/sapm1946251261,Levinson–Durbin recursion,1947,,,,,,,,,
https://link.springer.com/article/10.1007/BF02163269,Bareiss Algorithm,1969,,,,,,,,,
https://www.jstor.org/stable/2004623?seq=1,Bjorck-Pereyra,1970,,,,,,,,,
https://www.sciencedirect.com/science/article/abs/pii/0041555380900610,Khachiyan Ellipsoid algorithm ,1979,,,,,,,,,
https://doi.org/10.1109%2FTC.1979.1675432,Bentley–Ottmann algorithm,1979,,,,,,,,,
https://linkinghub.elsevier.com/retrieve/pii/0020019073900203,Jarvis,1973,,,,,,,,,
https://link.springer.com/chapter/10.1007/BFb0028279,Kruskal’s algorithm with demand-sorting,1991,,,,,,,,,
https://dl.acm.org/citation.cfm?id=2791187,Quick Kruskal algorithm,2006,,,,,,,,,
http://cs.brown.edu/research/pubs/pdfs/1995/Karger-1995-RLT.pdf,Karger; Klein & Tarjan,1995,,,,,,,,,
https://en.wikipedia.org/wiki/Crout_matrix_decomposition,Crout and LUP algorithms,2007,,,,,,,,,
https://arxiv.org/abs/math/0506382,Okunev; Johnson,1997,,,,,,,,,
https://ieeexplore.ieee.org/document/4082128/,A* Algorithm,1968,,,,,,,,,
https://www.cs.princeton.edu/courses/archive/spr06/cos423/Handouts/EPP%20shortest%20path%20algorithms.pdf,Bidirectional A* Algorithm,2007,,,,,,,,,
http://idm-lab.org/bib/abstracts/papers/aamas09d.pdf,Fringe Saving A* (FSA*),2008,,,,,,,,,
http://idm-lab.org/bib/abstracts/papers/aamas08b.pdf,Generalized Adaptive A* (GAA*),2008,,,,,,,,,
https://linkinghub.elsevier.com/retrieve/pii/0004370285900840,Iterative Deepening A* (IDA*),1985,,,,,,,,,
http://users.cecs.anu.edu.au/~dharabor/data/papers/harabor-grastien-aaai11.pdf,Jump Point Search (JPS),2011,,,,,,,,,
http://idm-lab.org/bib/abstracts/papers/aaai02b.pdf,Lifelong Planning A* (LPA*),2001,,,,,,,,,
https://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.105.7839,Simplified Memory-Bounded A* (SMA*),1992,,,,,,,,,
http://idm-lab.org/bib/abstracts/papers/aaai07a.pdf,Theta*,2010,,,,,,,,,
https://papers.nips.cc/paper/2382-ara-anytime-a-with-provable-bounds-on-sub-optimality.pdf,Anytime Repairing A* (ARA*),2005,,,,,,,,,
https://www.cs.du.edu/~sturtevant/papers/TBA.pdf,Time-Bounded A* (TBA*),2009,,,,,,,,,
https://pdfs.semanticscholar.org/4479/9559a1067e06b5a6bf052f8f10637707928f.pdf,Knuth-Morris-Pratt (KMP) algorithm,1977,,,,,,,,,
https://www.cs.utexas.edu/users/moore/publications/fstrpos.pdf,Boyer-Moore (BM) algorithm,1977,,,,,,,,,
https://pdfs.semanticscholar.org/c47d/151f09c567013761632c89e237431c6291a2.pdf,Rabin-Karp (RK) algorithm,1987,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0022283670900574,Needleman–Wunsch algorithm,1970,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0022283681900875,Smith–Waterman algorithm,1981,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0022000080900021,Masek; Patterson,1980,,,,,,,,,
https://dl.acm.org/doi/10.1145/360825.360861,Hirschberg's algorithm,1975,,,,,,,,,
https://www.ncbi.nlm.nih.gov/pubmed/2983426,FASTA,1985,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0022283682903989,Gotoh,1982,,,,,,,,,
https://link.springer.com/article/10.1007/BF02462326,Altschul and Erickson,1986,,,,,,,,,
https://academic.oup.com/bioinformatics/article/4/1/11/205106?login=true,Myers and Miller,1988,,,,,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC427531/,David Sankoff,1972,,,,,,,,,
https://books.google.com/books/about/Principles_of_interactive_computer_graph.html?id=inJ8AAAAIAAJ,Cohen–Sutherland,1967,,,,,,,,,
https://dl.acm.org/doi/10.1145/357332.357333,Liang–Barsky,1984,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0097849378900213,Cyrus–Beck,1978,,,,,,,,,
https://dl.acm.org/doi/10.1145/37401.37432,Nicholl–Lee–Nicholl,1987,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0097849387900616,Fast clipping,1987,,,,,,,,,
https://ieeexplore.ieee.org/document/5392601,Rabin–Scott powerset construction,1959,,,,,,,,,
http://www.mathnet.ru/php/archive.phtml?wshow=paper&jrnid=dan&paperid=26729&option_lang=eng,Karatsuba Algorithm,1962,,,,,,,,,
https://www.ams.org/journals/tran/1969-142-00/S0002-9947-1969-0249212-8/S0002-9947-1969-0249212-8.pdf,Toom-3,1969,,,,,,,,,
https://www.sciencedirect.com/science/article/abs/pii/S0146664X72800170,Ramer–Douglas–Peucker algorithm,1972,,,,,,,,,
https://hull-repository.worktribe.com/output/459275,Visvalingam–Whyatt,1993,,,,,,,,,
http://dx.doi.org/10.2312/eg.19811012,Opheim simplification,1981,,,,,,,,,
http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.494.7321,Zhao-Saalfeld,1997,,,,,,,,,
https://dl.acm.org/doi/pdf/10.1145/355744.355745,k-d Tree,1975,,,,,,,,,
http://www-db.deis.unibo.it/courses/SI-LS/papers/Gut84.pdf,R-tree,1984,,,,,,,,,
https://dl.acm.org/doi/10.1145/321812.321823,Horowitz and Sahni,1974,,,,,,,,,
https://onlinelibrary.wiley.com/doi/10.1002/nav.3800030107,Bellman dynamic programming algorithm,1956,,,,,,,,,
https://www.sciencedirect.com/science/article/abs/pii/S0196677499910349,Psinger,1999,,,,,,,,,
https://dl.acm.org/doi/pdf/10.1145/3329863,Koiliaris and Xu,2019,,,,,,,,,
https://arxiv.org/abs/1610.04712,Bringman,2017,,,,,,,,,
https://dl.acm.org/doi/pdf/10.1145/358234.381162,Faster Brute Force (via x[L:U] = x[L:U-1]+x[U]),1977,,,,,,,,,
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.24.1291&rep=rep1&type=pdf,Perumalla and Deo,1995,,,,,,,,,
https://link.springer.com/chapter/10.1007/BFb0054337,Speller,1998,,,,,,,,,
https://pubmed.ncbi.nlm.nih.gov/12169566/,Mitra,2002,,,,,,,,,
https://link.springer.com/chapter/10.1007/978-3-540-45078-8_5,Census,2003,,,,,,,,,
https://link.springer.com/chapter/10.1007/11682462_69,Risotto,2006,,,,,,,,,
https://ieeexplore.ieee.org/abstract/document/4359890,PMS,2007,,,,,,,,,
https://dl.acm.org/doi/10.1145/321864.321874,Dynamic Programming,1953,,,,,,,,,
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,Czumaj,1996,,,,,,,,,
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.218.8168&rep=rep1&type=pdf,Czumaj,1996,,,,,,,,,
https://www.worldcat.org/title/computing-matrix-chain-products-in-near-optimal-time/oclc/727708286,Chandra,1975,,,,,,,,,
https://dl.acm.org/citation.cfm?id=359556,Chin,1978,,,,,,,,,
https://doi.org/10.1016/0020-0190(79)90113-3,Bini's algorithm,1979,,,,,,,,,
https://epubs.siam.org/doi/abs/10.1137/0210032,Schonhage's algorithm,1980,,,,,,,,,
http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.36.4204,"Karger, Blum",1997,,,,,,,,,
https://dl.acm.org/doi/10.1145/359094.359101,Brélaz (DSatur),1979,,,,,,,,,
https://ieeexplore.ieee.org/document/4567800,Micali and Vazirani,1980,,,,,,,,,
https://dl.acm.org/doi/10.1145/321043.321046,Miller-Tucker-Zemlin (MTZ) formulation ,1960,,,,,,,,,
https://doi.org/10.1287/opre.2.4.393,Dantzig-Fulkerson-Johnson (DFJ) formulation,1954,,,,,,,,,
https://dl.acm.org/doi/10.1145/876638.876640,Barvinok,2003,,,,,,,,,
http://www.bmva.org/bmvc/1988/avc-88-023.pdf,Harris and Stephens algorithm,1988,,,,,,,,,
https://www.sciencedirect.com/science/article/abs/pii/0167865582900204,L. Kitchen and A. Rosenfeld,1982,,,,,,,,,
https://www.jstor.org/stable/3689577#metadata_info_tab_contents,Chvatal greedy heuristic,1979,,,,,,,,,
https://dl.acm.org/doi/pdf/10.1145/1150334.1150336,Alon; Moshkovitz & Safra,2006,,,,,,,,,
https://www.ncbi.nlm.nih.gov/pubmed/9788350,Roth AlignACE,1998,,,,,,,,,
https://ieeexplore.ieee.org/abstract/document/790383,non-parametric sampling Efros and Leung,1999,,,,,,,,,
https://dl.acm.org/doi/abs/10.1145/383259.383295,image analogies Hertzmann,2001,,,,,,,,,
https://ieeexplore.ieee.org/abstract/document/679446,R. Paget ; I.D. Longstaff,1998,,,,,,,,,
https://dl.acm.org/doi/abs/10.1145/383259.383296,Image quilting Efros-Freeman,2001,,,,,,,,,
http://ais.informatik.uni-freiburg.de/teaching/ss12/robotics/slides/12-slam.pdf,EKF SLAM,1998,,,,,,,,,
https://www.seas.harvard.edu/courses/cs281/papers/unscented.pdf,UKF,2000,,,,,,,,,
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.206.999&rep=rep1&type=pdf,Compressed Extended KF,2002,,,,,,,,,
https://papers.nips.cc/paper/1716-bayesian-map-learning-in-dynamic-environments.pdf,Rao-Blackwellized Particle Filtering SLAM,2001,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0012365X89902148,Petford and Welsh,1989,,,,,,,,,
https://link.springer.com/chapter/10.1007/978-3-540-73545-8_9,Fomin; Gaspers & Saurabh,2007,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/S0890540185710498,Khuller; Matias,1995,,,,,,,,,
https://dl.acm.org/citation.cfm?id=248979,Bunch; Hopcroft,1974,,,,,,,,,
https://en.wikipedia.org/wiki/Bitap_algorithm,Bitap algorithm,1964,,,,,,,,,
https://link.springer.com/chapter/10.1007/978-1-349-08147-9_4,Tree sort,1986,,,,,,,,,
https://apps.dtic.mil/dtic/tr/fulltext/u2/740110.pdf,Quick Sort,1961,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0196677492900166?via%3Dihub,Cube Sort Parallel Implementation,1992,,,,,,,,,
https://dl.acm.org/citation.cfm?doid=368370.368387,Shell Sort (Shell),1959,,,,,,,,,
https://dl.acm.org/citation.cfm?doid=366947.366957,Shell Sort (Frank & Lazarus),1960,,,,,,,,,
https://apps.dtic.mil/sti/pdfs/AD0740110.pdf,Shell Sort (Pratt),1971,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0196677486900015?via%3Dihub,Shell Sort (Sedgewick),1986,,,,,,,,,
https://epubs.siam.org/doi/abs/10.1137/0218014,Bitonic Merge Sort Parallel Implementation,1968,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/S0196677402912113,Thorup's Sorting Algorithm,2002,,,,,,,,,
http://www.neubert.net/FSOIntro.html,Flash Sort,1998,,,,,,,,,
https://web.archive.org/web/20170809110409/https://www.cs.auckland.ac.nz/~jaru003/research/publications/journals/beadsort.pdf,Bead Sort,2002,,,,,,,,,
https://dl.acm.org/citation.cfm?doid=1005813.1041517,Burst Sort,2004,,,,,,,,,
https://www.semanticscholar.org/paper/The-Spreadsort-High-performance-General-case-Ross/41f5b49e9843b2d98b6b22a84924dae5761e6e52,Spreadsort,2002,,,,,,,,,
https://doi.org/10.1137/0211028,T. C. Hu ; M. T. Shing,1982,,,,,,,,,
http://www.cs.ust.hk/mjg_lib/bibs/DPSu/DPSu.Files/HuSz77.pdf,Hunt and Szymanski,1977,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0020025580900250,Mukhopadhyay,1980,,,,,,,,,
https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549,Dinitz (with dynamic trees),1973,,,,,,,,,
https://www.sciencedirect.com/science/article/abs/pii/S037722179600269X,Cherkassky,1977,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0022000083900065,Sleator & Tarjan,1983,,,,,,,,,
https://www.cs.princeton.edu/courses/archive/fall03/cs528/handouts/a%20new%20approach.pdf,Goldberg & Tarjan,1986,,,,,,,,,
https://www.researchgate.net/publication/38008130_A_Fast_and_Simple_Algorithm_for_the_Maximum_Flow_Problem,Ahuja & Orlin,1987,,,,,,,,,
https://ieeexplore.ieee.org/document/63465,Cheriyan & Hagerup,1989,,,,,,,,,
https://link.springer.com/chapter/10.1007/BFb0032035,Cheriyan et al.,1990,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/002001909090024R,Alon,1990,,,,,,,,,
https://dl.acm.org/citation.cfm?id=139438,King et al. (KRT),1992,,,,,,,,,
https://dl.acm.org/citation.cfm?id=167201,Phillips & Westbrook,1993,,,,,,,,,
https://dl.acm.org/citation.cfm?id=290181,Goldberg & Rao,1997,,,,,,,,,
https://dl.acm.org/citation.cfm?id=290181,Goldberg & Rao,1997,,,,,,,,,
https://dl.acm.org/citation.cfm?id=2488705,James B Orlin's + KRT (King; Rao; Tarjan)'s algorithm,2013,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/002001907690065X?via%3Dihub,Lawler,1976,,,,,,,,,
https://link.springer.com/chapter/10.1007/3-540-57899-4_51,Schiermeyer,1994,,,,,,,,,
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=492575,Beigel & Eppstein,1995,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/S0196677404001117?via%3Dihub,Beigel & Eppstein,2000,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/002001907690065X?via%3Dihub,Lawler,1976,,,,,,,,,
https://www.sciencedirect.com/science/article/abs/pii/S0167637704000409?via%3Dihub,Byskov,2004,,,,,,,,,
https://nvlpubs.nist.gov/nistpubs/jres/049/jresv49n6p409_A1b.pdf,Conjugate Gradient,1952,,,,,,,,,
https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.103.150502,Harrow (Quantum),2009,,,,,,,,,
https://web.archive.org/web/20131228145520/http://retis.sssup.it/~bini/teaching/optim2010/karmarkar.pdf,Karmarkar's algorithm,1984,,,,,,,,,
https://arxiv.org/abs/1810.07896,Cohen; Lee and Song,2018,,,,,,,,,
https://arxiv.org/abs/1503.01752,Lee and Sidford,2015,,,,,,,,,
https://dl.acm.org/doi/10.1145/147508.147511,Chazelle & Edelsbrunner,1992,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0022000086900255,CHAZELLE,1986,,,,,,,,,
https://pdfs.semanticscholar.org/a571/cc92218132a1b0e65c2adbf663c79d015737.pdf,NIEVERGELT. J.. AND PREPARATA (Section 3),1982,,,,,,,,,
https://epubs.siam.org/doi/abs/10.1137/S0097539797329373,"Jean-Daniel Boissonnat and Franco P.
Preparata. ",1997,,,,,,,,,
https://dl.acm.org/doi/pdf/10.1145/220279.220302,Balaban.,1995,,,,,,,,,
https://dl.acm.org/citation.cfm?id=304991,Boissonnat; Snoeyink,1999,,,,,,,,,
https://dl.acm.org/citation.cfm?id=72950,Goodrich,1989,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0020019072900452?via%3Dihub,Graham,1972,,,,,,,,,
https://dl.acm.org/citation.cfm?id=355766,W. Eddy Quickhull,1977,,,,,,,,,
https://dl.acm.org/citation.cfm?id=359430,Preparata and Hong,1977,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0020019079900723,Andrew's algorithm,1979,,,,,,,,,
https://ecommons.cornell.edu/handle/1813/6417,The ultimate planar convex hull algorithm,1986,,,,,,,,,
https://link.springer.com/article/10.1007/BF02712873,Chan's algorithm,1996,,,,,,,,,
https://cse.buffalo.edu/faculty/miller/Papers/IEEETC88a.pdf,Miller; Stout,1988,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0898122181900080,Kosaraju's algorithm,1978,,,,,,,,,
https://www.semanticscholar.org/paper/Depth-First-Search-and-Linear-Graph-Algorithms-Tarjan/385742fffcf113656f0d3cf6c06ef95cb8439dc6,Tarjan's strongly connected components algorithm,1972,,,,,,,,,
https://www.worldcat.org/title/discipline-of-programming/oclc/1958445,Path-based strong components algorithm; Dijkstra,1976,,,,,,,,,
https://ldhulipala.github.io/readings/sequential-scc.pdf,Fleischer forward-backward (FB) algorithm,2003,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/S0020019015001532,Pearce,2016,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/S002001900000051X?via%3Dihub,Path-based depth-first search Gabow,2000,,,,,,,,,
https://link.springer.com/article/10.1007%2FBF01940892,Paul Purdom,1970,,,,,,,,,
http://www.cs.ox.ac.uk/people/gavin.lowe/parallelDFS.html,Lowe’s Algorithm,2014,,,,,,,,,
https://link.springer.com/chapter/10.1007/978-3-642-45221-5_44,Renault’s Algorithm,2009,,,,,,,,,
https://link.springer.com/chapter/10.1007/3-540-48119-2_16,Couvreur,1999,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0020019071900068,Munro’s algorithm,1971,,,,,,,,,
https://ieeexplore.ieee.org/document/8133154,OBF Algorithm,2011,,,,,,,,,
https://research.vu.nl/en/publications/on-distributed-verification-and-verified-distribution,CH Algorithm,2004,,,,,,,,,
https://stanford-ppl.github.io/website/papers/sc13-hong.pdf,Hong’s algorithm,2013,,,,,,,,,
https://ieeexplore.ieee.org/document/6773228,Prim's algorithm + adjacency matrix searching,1957,,,,,,,,,
https://dl.acm.org/citation.cfm?id=28874,Prim's algorithm + Fibonacci heaps; Fredman & Tarjan,1987,,,,,,,,,
https://www.jstor.org/stable/2033241,Kruskal's algorithm,1956,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0020019075900563,Yao's algorithm,1975,,,,,,,,,
https://epubs.siam.org/doi/abs/10.1137/0205051,Cheriton-Tarjan Algorithm,1976,,,,,,,,,
https://dl.acm.org/citation.cfm?id=2791225,Filter Kruskal algorithm,2009,,,,,,,,,
https://www.cs.princeton.edu/~chazelle/pubs/mst.pdf,Chazelle's algorithm,2000,,,,,,,,,
https://www.cs.princeton.edu/courses/archive/spr10/cos423/handouts/NearOpt.pdf,Thorup (reverse-delete),2000,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0020019079900851,Fortune and Hopcroft,1979,,,,,,,,,
https://www.springer.com/gp/book/9780387961316,F. Preparata and M. Shamos,1986,,,,,,,,,
https://dl.acm.org/citation.cfm?id=540196,Rabin' Algorithm,1976,,,,,,,,,
https://dl.acm.org/citation.cfm?id=358850,Bentley,1980,,,,,,,,,
https://dl.acm.org/citation.cfm?id=803652,Bentley; Shamos,1976,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0020019088901500,Hinrichs; Nievergelt; Schorn,1988,,,,,,,,,
https://ieeexplore.ieee.org/document/4567872,Shamos; Hoey,1975,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0020019080900356,Dyer,1980,,,,,,,,,
https://apps.dtic.mil/sti/pdfs/AD0422842.pdf,Bellman–Ford algorithm (Ford 1956),1956,,,,,,,,,
https://www.ams.org/journals/qam/1958-16-01/S0033-569X-1958-0102435-2/S0033-569X-1958-0102435-2.pdf,Bellman–Ford algorithm (Shimbel 1955; Bellman 1958; Moore 1959),1959,,,,,,,,,
https://www.jstor.org/stable/pdf/2627005.pdf,Bellman–Ford algorithm (Dantzig 1960),1960,,,,,,,,,
https://www.jstor.org/stable/3007178?seq=1#page_scan_tab_contents,Dijkstra's algorithm with list (Whiting & Hillier 1960),1960,,,,,,,,,
https://dl.acm.org/citation.cfm?id=321993,Dijkstra's algorithm with binary heap (Johnson 1977),1977,,,,,,,,,
https://www.cs.princeton.edu/courses/archive/fall03/cs528/handouts/fibonacci%20heaps.pdf,Dijkstra's algorithm with Fibonacci heap (Fredman & Tarjan 1984; Fredman & Tarjan 1987),1984,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0166218X8390104X?via%3Dihub,Dijkstra's algorithm with Fibonacci heap (Johnson 1981; Karlsson & Poblete 1983),1981,,,,,,,,,
https://ieeexplore.ieee.org/document/4568085,Gabow's algorithm,1983,,,,,,,,,
https://dl.acm.org/doi/10.1145/77600.77615,Gabow Ahuja Algorithm,1990,,,,,,,,,
https://dl.acm.org/doi/10.1016/j.jcss.2004.04.003,Thorup's algorithm,2004,,,,,,,,,
https://link.springer.com/article/10.1007/BF02476438,Shimbel Algorithm,1953,,,,,,,,,
https://dl.acm.org/citation.cfm?id=368168,Floyd–Warshall algorithm,1962,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/S0022000085710781,Seidel's algorithm,1995,,,,,,,,,
https://dl.acm.org/citation.cfm?id=2591811,Williams,2014,,,,,,,,,
https://dl.acm.org/citation.cfm?id=545417,Pettie & Ramachandran,2002,,,,,,,,,
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.22.7128&rep=rep1&type=pdf,Thorup,1999,,,,,,,,,
http://tmc.web.engr.illinois.edu/moreapsp.pdf,Chan (Geometrically Weighted),2009,,,,,,,,,
http://tmc.web.engr.illinois.edu/moreapsp.pdf,Chan,2009,,,,,,,,,
https://link.springer.com/article/10.1007%2FBF01933667,Pollard's rho algorithm,1975,,,,,,,,,
https://www.cambridge.org/core/journals/mathematical-proceedings-of-the-cambridge-philosophical-society/article/theorems-on-factorization-and-primality-testing/6762E84DBD34AEF13E6B1D1A8334A989,Pollard's p − 1 algorithm,1974,,,,,,,,,
https://www.jstor.org/stable/2007633?origin=crossref,Williams' p + 1 algorithm,1982,,,,,,,,,
https://www.jstor.org/stable/1971363?origin=crossref&seq=1,Lenstra elliptic curve factorization,1987,,,,,,,,,
https://archive.org/details/oeuvresdefermat02ferm,Fermat's factorization method,1894,,,,,,,,,
https://www.ams.org/journals/mcom/1981-36-153/S0025-5718-1981-0595059-1/home.html,Dixon's algorithm,1981,,,,,,,,,
https://www.ams.org/journals/bull/1931-37-10/S0002-9904-1931-05271-X/home.html,Continued fraction factorization (CFRAC),1931,,,,,,,,,
https://www.semanticscholar.org/paper/Analysis-and-comparison-of-some-integer-factoring-Pomerance/134b7b065a73d4ca00bb16c7b8bebbde951b0ba0,Quadratic sieve,1981,,,,,,,,,
https://www.ams.org/journals/mcom/1993-61-203/S0025-5718-1993-1182953-4/S0025-5718-1993-1182953-4.pdf,Rational sieve,1993,,,,,,,,,
https://www.ams.org/journals/mcom/2008-77-261/S0025-5718-07-02010-8/S0025-5718-07-02010-8.pdf,Shanks's square forms factorization (SQUFOF),2007,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/S1063520316300069,Randomized LU Decomposition,2016,,,,,,,,,
https://books.google.com/books?hl=en&lr=&id=1aAOdzK3FegC&oi=fnd&pg=PA1&dq=Teukolsky#v=onepage&q=Teukolsky&f=false,"Press, Teukolsky, Flannery",2007,,,,,,,,,
https://webdocs.cs.ualberta.ca/~holte/Publications/aaai11PeterYapFinal.pdf,Block A*,2011,,,,,,,,,
