Old Family #,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains
1,Sorting,2,Comparison Sorting,5,,,1,1,O( n² ),uniform distribution over all possible permutations,(can be easily derived),[- Bubble Sort (1956)],Bubble Sort,1956,-,,,,0,0,5,n: 5,O(n^2),n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),in-situ,1,0,,0,,0,,0,0,,0,0,https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000000,1,,,,,,,,4,,,Combinatorics
1,Sorting,2,Comparison Sorting,8,,,1,1,O(n logn),uniform distribution over all possible permutations,(lower bound for average-case in sorting + upper bound for heapsort),[https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-024X%28199708%2927%3A8%3C983%3A%3AAID-SPE117%3E3.0.CO%3B2-%23 Intro Sort (1997)],Intro Sort,1997,https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-024X%28199708%2927%3A8%3C983%3A%3AAID-SPE117%3E3.0.CO%3B2-%23,,,,0,0,4,n: 4,O(n \log n),n: size of list,n,,,Word RAM,words,2,n: 2,O(logn),(see quicksort + heapsort),1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Introsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,9965,100.3512293,,,,,,,,4,,,Combinatorics
1,Sorting,2,Comparison Sorting,24,,,1,1,O(n logn),uniform distribution over all possible permutations (reference proof possibly not complete?),https://www.sciencedirect.com/science/article/pii/030439759390364Y?via%3Dihub,[https://www.bibsonomy.org/bibtex/2f485e4ea9a877871b59ab503151a7f10/bjoern Heap Sort (1964)],Heap Sort,1964,https://www.bibsonomy.org/bibtex/2f485e4ea9a877871b59ab503151a7f10/bjoern,,,,0,0,4,n: 4,O(n \log n),n: size of list,n,,,Word RAM,words,1,n: 1,O(1) (in-situ),(can be easily derived),1,0,,0,,0,,0,0,0,0,0,https://en.wikipedia.org/wiki/Heapsort,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,9965,100.3512293,,,,,,,,4,,,Combinatorics
1,Sorting,2,Non-Comparison Sorting,7,,,1,1,O(n+k),uniform distribution over all sets of key values,CLRS,[http://bitsavers.org/pdf/mit/whirlwind/R-series/R-232_Information_Sorting_in_the_Application_of_Electronic_Digital_Computers_to_Business_Operations_May54.pdf Counting Sort (1954)],Counting Sort,1954,http://bitsavers.org/pdf/mit/whirlwind/R-series/R-232_Information_Sorting_in_the_Application_of_Electronic_Digital_Computers_to_Business_Operations_May54.pdf,,,,0,0,3,"n: 3,
k: 3",O(n+k),"n: size of list
k: range of non-negative key values",n,,,Word RAM,words,3,"n: 3,
k: 3",O(n+k),(can be easily derived),1,0,,0,,0,,0,0,,0,0,"https://en.wikipedia.org/wiki/Counting_sort

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000,1000,,,,,,,,4,,,Combinatorics
1,Sorting,2,Non-Comparison Sorting,16,,,1,1,O(n),uniform distribution of elements within domain of array,CLRS,[- Bucket Sort (1940)],Bucket Sort,1940,-,,,,0,0,5,n: 5,O( n² ),n: size of list,n,,,Word RAM,words,3,n: 3,O(n),CLRS,0,0,,0,,0,,0,0,,0,0,-,A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,,,,,,,,1000000,1,,,,,,,,4,,,Combinatorics
1,Sorting,2,Non-Comparison Sorting,21,,,1,1,O(wn),Any distribution (runtime is same regardless of input),(same general behavior across all inputs),[- Radix Sort (1940)],Radix Sort,1940,-,4,1,,1,4->6,3,"n: 3,
w: 3",O(wn),"n: size of list
w: length of word",n,,,Word RAM,words,3,"n: 3,
w: 3",O(w+n),(wikipedia page?),0,0,,0,,0,,0,0,,0,0,"https://en.wikipedia.org/wiki/Radix_sort

https://www.ijser.org/researchpaper/Evaluation-of-Sorting-Algorithms-Mathematical-and-Empirical-Analysis-of-sorting-Algorithms.pdf",A sorting algorithm is an algorithm that puts elements of a list in a certain order.,1,n is the size of the array to be sorted.,NA,,,,,,,1000,1000,999,1000000,1000000,999999,1000000000,1000000000,999999999,4,NA,NA,Combinatorics
5,Maximum Flow,2,,54,,,1,1,O(E^2U),<= possibly open if there's a better bound? i.e. for Erdos-Renyi with uniform edge weights,,[http://www.cs.yale.edu/homes/lans/readings/routing/ford-max_flow-1956.pdf Ford & Fulkerson (1955)],Ford & Fulkerson,1955,http://www.cs.yale.edu/homes/lans/readings/routing/ford-max_flow-1956.pdf,,,,1,2->3,7,"V: 7,
E: 5,
U: 3",O(E^2U),"V: number of vertices
E: number of edges
U: maximum edge capacity
Edge weights must be integers",V,,,Word RAM,words,5,"E: 3,
V: 5",O(E),https://core.ac.uk/download/pdf/81946904.pdf,0,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",1666.666667,4.623413252,1666666.667,30.6227766,1666666667,176.827941,56895766.95,0.004394,,5.69E+16,0.000004394,,5.69E+25,0.000000004394,,2,,,Combinatorics
5,Maximum Flow,2,,55,,,1,1,O(V^2E),^ see above,,[https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549 Dinitz (1970)],Dinitz,1970,https://www.scirp.org/(S(lz5mqp453edsnp55rrgjct55))/reference/ReferencesPapers.aspx?ReferenceID=1690549,,,,0,0,7,"V: 7,
E: 3",O(V^2E),"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"E: 3,
V: 5",O(E),https://core.ac.uk/download/pdf/81946904.pdf,0,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,20482476,384.6153865,,,,,,,,2,,,Combinatorics
5,Maximum Flow,2,,56,,,1,1,O(E^2LogU),^ see above,,[https://web.eecs.umich.edu/~pettie/matching/Edmonds-Karp-network-flow.pdf Edmonds & Karp (1972)],Edmonds & Karp,1972,https://web.eecs.umich.edu/~pettie/matching/Edmonds-Karp-network-flow.pdf,,,,1,0,7,"V: 7,
E: 5,
U: 2",O(E^2 \log U),"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"E: 3,
V: 5",O(E),https://core.ac.uk/download/pdf/81946904.pdf,0,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,1270306.607,0.196802881,,2744535051194,0.0910901101,,4.22E+18,0.05925906969,,2,,,Combinatorics
5,Maximum Flow,2,,58,,,1,1,O(V^3),^ see above,,[http://alexander-karzanov.net/Publications/maxflow-acyc.pdf Karzanov (1974)],Karzanov,1974,http://alexander-karzanov.net/Publications/maxflow-acyc.pdf,,,,0,0,6,V: 6,O(V^3),"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"E: 1,
V: 5",O(V^2),https://core.ac.uk/download/pdf/81946904.pdf,0,0,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,12289485,641.0256755,,,,,,,,2,,,Combinatorics
5,Maximum Flow,2,,60,,,1,1,O(VELog^2V),^ see above,,[https://core.ac.uk/download/pdf/81946904.pdf Galil & Naamad (1980)],Galil & Naamad,1980,https://core.ac.uk/download/pdf/81946904.pdf,,,,1,0,6.02,"V: 6.02,
E: 3",O(VE \log^2 V),"V: number of vertices
E: number of edges
U: maximum edge capacity",V,,,Word RAM,words,5,"E: 3,
V: 5",O(E),https://core.ac.uk/download/pdf/81946904.pdf,0,1,,0,,0,,0,0,,0,0,,maximum flow problems involve finding a feasible flow through a flow network that is maximum.,,,"V:E:U
0.6:1:1",,,,,,,7559564.594,#VALUE!,,32701134618989,#VALUE!,,7.55E+19,#VALUE!,,2,,,Combinatorics
6,Matrix Product,2,Matrix Multiplication,74,,,1,1,O(n^3),Any distribution (runtime is same regardless of input),(can be easily derived because additions and multiplications can be done in constant time),[- Naive algorithm (1940)],Naive algorithm,1940,-,,,,1,0,4.5,"n: 6,
n^2: 4.5",O(n^3),n: dimension of square matrix,n^2,,,Word RAM,words,1,"n: 1,
n^2: 1",O(1) auxiliary,can be easily derived,1,0,,0,,0,,0,0,,0,0,,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,1000000000,1,,1.00E+18,1,,1.00E+27,1,,3,,,Combinatorics
6,Matrix Product,2,Matrix Multiplication,75,,,1,1,O(n^{(log7/log2)}) ~ O(n^2.807),Any distribution (runtime is same regardless of input),(can be easily derived because additions and multiplications can be done in constant time),[https://link.springer.com/article/10.1007%2FBF02165411 Strassen's algorithm (1969)],Strassen's algorithm,1969,https://link.springer.com/article/10.1007%2FBF02165411,,,,1,0,4.4035,"n: 5.807,
n^2: 4.4035",$O(n^{(log7/log2)}) ~ O(n^{2.807})$,n: dimension of square matrix,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),http://www.cs.cmu.edu/afs/cs/academic/class/15750-s17/ScribeNotes/lecture1.pdf,0,0,,0,,0,,0,0,,0,0,,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,263633138.6,3.79314985,0.04704540988,6.95E+16,14.38798578,0.09630409036,1.83E+25,54.57578611,0.1478801656,3,,,Combinatorics
6,Matrix Product,2,Matrix Multiplication,76,,,1,1,O(n^{(log(143640)/log(70))}) ~ O(n^{2.795}),Any distribution (runtime is same regardless of input),(can be easily derived because additions and multiplications can be done in constant time),[https://ieeexplore.ieee.org/document/4567976 Pan's algorithm (1978)],Pan's algorithm,1978,https://ieeexplore.ieee.org/document/4567976,,,,1,0,4.3975,"n: 5.795,
n^2: 4.3975",$O(n^{(log(143640)/log(70))}) ~ O(n^{2.795})$,n: dimension of square matrix,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),Re-use of space in recursive branches,1,0,,0,,0,,0,0,,0,0,,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,251188643.2,3.981071706,0.03702559087,6.31E+16,15.84893192,0.07542207611,1.58E+25,63.09573445,0.1152402139,3,,,Combinatorics
6,Matrix Product,2,Matrix Multiplication,79,,,1,1,O(n^{2.51665}),Any reasonable nontrivial distribution,https://arxiv.org/abs/2202.08996,[https://epubs.siam.org/doi/abs/10.1137/0211020 Romani's algorithm (1981)],Romani's algorithm,1981,https://epubs.siam.org/doi/abs/10.1137/0211020,,,,1,0,4.258325,"n: 5.51665,
n^2: 4.258325",$O(n^{2.51665})$,n: dimension of square matrix,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),Re-use of space in recursive branches,1,0,,0,,0,,0,0,,0,0,https://simons.berkeley.edu/sites/default/files/docs/2438/slideslegall.pdf,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,35809643.71,27.92543841,0.08459673488,1.28E+15,779.8301105,0.1763500773,4.59E+22,21777.09772,0.2758654529,3,,,Combinatorics
6,Matrix Product,2,Matrix Multiplication,80,,,1,1,O(n^{2.495548}),Any reasonable nontrivial distribution,https://arxiv.org/abs/2202.08996,[https://epubs.siam.org/doi/abs/10.1137/0211038 Coppersmith–Winograd algorithm (1981)],Coppersmith–Winograd algorithm,1981,https://epubs.siam.org/doi/abs/10.1137/0211038,,,,1,0,4.247774,"n: 5.495568,
n^2: 4.247774",$O(n^{2.495548})$,n: dimension of square matrix,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),Re-use of space in recursive branches,1,0,,0,,0,,0,0,,0,0,https://simons.berkeley.edu/sites/default/files/docs/2438/slideslegall.pdf,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,30549211.13,32.73406949,0.08880779024,933254300796992,1071.519305,0.1855024041,2.85E+22,35075.1874,0.2907842529,3,,,Combinatorics
6,Matrix Product,2,Matrix Multiplication,81,,,1,1,O(n^{(log54/log5)}) ~ O(n^{(2.4785)}),Any reasonable nontrivial distribution,https://arxiv.org/abs/2202.08996,[https://ieeexplore.ieee.org/abstract/document/4568194 Strassen's algorithm (1986)],Strassen's algorithm,1986,https://ieeexplore.ieee.org/abstract/document/4568194,,,,1,0,4.23925,"n: 5.4785,
n^2: 4.23925",$O(n^{(log54/log5)}) ~ O(n^{(2.4785)})$,n: dimension of square matrix,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),Re-use of space in recursive branches,1,0,,0,,0,,0,0,,0,0,https://simons.berkeley.edu/sites/default/files/docs/2438/slideslegall.pdf,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,27542287.03,36.30780548,0.08121744309,758577575029184,1318.256739,0.1690311592,2.09E+22,47863.00923,0.2639768809,3,,,Combinatorics
6,Matrix Product,2,Matrix Multiplication,82,,,1,1,O(n^{2.3755}),Any reasonable nontrivial distribution,https://arxiv.org/abs/2202.08996,[http://www.cs.umd.edu/~gasarch/TOPICS/ramsey/matrixmult.pdf Coppersmith–Winograd algorithm (1990)],Coppersmith–Winograd algorithm,1990,http://www.cs.umd.edu/~gasarch/TOPICS/ramsey/matrixmult.pdf,,,,1,0,4.18775,"n: 5.3755,
n^2: 4.18775",$O(n^{2.3755})$,n: dimension of square matrix,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),Re-use of space in recursive branches,1,0,,0,,0,,0,0,,0,0,https://simons.berkeley.edu/sites/default/files/docs/2438/slideslegall.pdf,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,13061708.88,76.55966069,0.0906364297,170608238900312,5861.381645,0.1894878218,2.23E+21,448745.3899,0.2972987511,3,,,Combinatorics
6,Matrix Product,2,Matrix Multiplication,83,,,1,1,O(n^{2.372873}),Any reasonable nontrivial distribution,https://arxiv.org/abs/2202.08996,[http://theory.stanford.edu/~virgi/matrixmult-f.pdf Vassilevska Williams (2014)],Vassilevska Williams,2014,http://theory.stanford.edu/~virgi/matrixmult-f.pdf,,,,1,0,4.1864365,"n: 5.372873,
n^2: 4.1864365",$O(n^{2.372873})$,n: dimension of square matrix,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),Re-use of space in recursive branches,1,0,,0,,0,,0,0,,0,0,https://simons.berkeley.edu/sites/default/files/docs/2438/slideslegall.pdf,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,13152248,76.03262956,0.06027597087,179060585403530,5584.701947,0.1236605537,2.40E+21,417349.5985,0.1911122816,3,,,Combinatorics
6,Matrix Product,2,Matrix Multiplication,84,,,1,1,O(n^{2.3728639}),Any reasonable nontrivial distribution,https://arxiv.org/abs/2202.08996,[https://arxiv.org/abs/1401.7714 François Le Gall (2014)],François Le Gall,2014,https://arxiv.org/abs/1401.7714,,,,1,0,4.18643195,"n: 5.3728639,
n^2: 4.18643195",$O(n^{2.3728639})$,n: dimension of square matrix,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),Re-use of space in recursive branches,1,0,,0,,0,,0,0,,0,0,https://simons.berkeley.edu/sites/default/files/docs/2438/slideslegall.pdf,"matrix multiplication or matrix product is a binary operation that produces a matrix
 from two matrices with entries in a field; or; more generally; in a ring
 or even a semiring. ",,,,,,,,,,12971792.71,77.09034691,0.06047393837,168267406107047,5942.921586,0.124604974,2.18E+21,458141.8867,0.1926142659,3,,,Combinatorics
9,Linear System,2,"General Linear System; Positive Definite, Hermitian Matrix; Non-Definite, Symmetric Matrix; Toeplitz Matrix; Vandermonde Matrix",102,,,1,1,O(n^3),Presumably any continuous random matrix distribution?,"(none, though intuitively it seems ""rare"" to run into special cases where runtime is smaller)",[- Gaussian-Jordan Elimination (-150)],Gaussian-Jordan Elimination,-150,-,1,1,,1,0,4.5,"n: 6,
n^2: 4.5",$O(n^3)$,n: number of variables and number of equations,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),can be easily derived,1,0,,0,,0,,0,0,,0,0,https://en.wikipedia.org/wiki/Levinson_recursion,"a system of linear equations (or linear system) is a collection of one or
 more linear equations involving the same set of variables.",,,"n:m:k
1:1:1",,,,,,,36926037,1,,3.70E+16,1,,3.70E+25,1,,3,,,Numerical Analysis
9,Linear System,2,"Positive Definite, Hermitian Matrix",103,,,1,1,O(n^3),^see above (with caveat that matrix has to be positive definite and hermitian),^see above,[- Cholesky (1940)],Cholesky,1940,-,,,,0,0,4.5,"n: 6,
n^2: 4.5",$O(n^3)$,n: number of variables and number of equations,n^2,,,Word RAM,words,3,"n: 5,
n^2: 3",O(n^2),can be easily derived,1,0,,0,,0,,0,0,,0,0,,"a system of linear equations (or linear system) is a collection of one or
 more linear equations involving the same set of variables.",,,"n:m:k
1:1:1",,,,,,,36926037,1,,,,,,,,3,,,Numerical Analysis
